"Site Crawled","https://mos2es.com/"
"Start Date","2026-07-10"
"Start Time","04:11:40"
"Last Modified Date","2026-07-10"
"Last Modified Time","04:12:04"
"Elapsed","00:00:23"
"Report Date","2026-07-10"
"Report Time","04:14:56"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","44","100.00%","44","URLs Encountered"
"Total URLs Crawled","44","100.00%","44","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","44","URLs Encountered"
"Total External blocked by robots.txt","0","0.00%","44","URLs Encountered"
""
"URLs Displayed","44","100.00%","44","URLs Displayed"
"Total Internal URLs","23","52.27%","44","URLs Displayed"
"Total External URLs","21","47.73%","44","URLs Displayed"
"Total Internal Indexable URLs","22","50.00%","44","URLs Displayed"
"Total Internal Non-Indexable URLs","1","2.27%","44","URLs Displayed"
""
"Internal"
"All","23","100.00%","23","Internal URLs"
"HTML","16","69.57%","23","Internal URLs"
"JavaScript","1","4.35%","23","Internal URLs"
"CSS","0","0.00%","23","Internal URLs"
"Images","4","17.39%","23","Internal URLs"
"Media","0","0.00%","23","Internal URLs"
"Fonts","0","0.00%","23","Internal URLs"
"XML","0","0.00%","23","Internal URLs"
"PDF","2","8.70%","23","Internal URLs"
"Plugins","0","0.00%","23","Internal URLs"
"Other","0","0.00%","23","Internal URLs"
"Unknown","0","0.00%","23","Internal URLs"
""
"External"
"All","21","100.00%","21","External URLs"
"HTML","12","57.14%","21","External URLs"
"JavaScript","0","0.00%","21","External URLs"
"CSS","7","33.33%","21","External URLs"
"Images","0","0.00%","21","External URLs"
"Media","0","0.00%","21","External URLs"
"Fonts","0","0.00%","21","External URLs"
"XML","0","0.00%","21","External URLs"
"PDF","0","0.00%","21","External URLs"
"Plugins","0","0.00%","21","External URLs"
"Other","2","9.52%","21","External URLs"
"Unknown","0","0.00%","21","External URLs"
""
"Security"
"All","23","100.00%","23","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","23","All internal and non-HTML external URLs"
"HTTPS URLs","23","100.00%","23","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","23","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","23","All internal and non-HTML external URLs"
