"Site Crawled","https://mos2es.com/"
"Start Date","2026-07-10"
"Start Time","05:17:34"
"Last Modified Date","2026-07-10"
"Last Modified Time","05:17:54"
"Elapsed","00:00:20"
"Report Date","2026-07-10"
"Report Time","05:18:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Analytics"
"All","11","100.00%","11","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","11","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","11","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","11","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","11","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","11","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","11","100.00%","11","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","11","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","11","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","11","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","11","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","11","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","11","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","11","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","11","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","11","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","11","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","11","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","13","100.00%","13","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","13","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","13","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","13","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","13","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","13","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","13","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","13","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","13","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","13","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","13","Internal URLs with 2xx response"
""
"Link Metrics"
"All","11","100.00%","11","Internal HTML/PDF pages"
""
"AI"
"All","12","100.00%","12","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","10.00%","10","Internal HTML pages with 2xx response"
"1","8","80.00%","10","Internal HTML pages with 2xx response"
"2","1","10.00%","10","Internal HTML pages with 2xx response"
"3","0","0.00%","10","Internal HTML pages with 2xx response"
"4","0","0.00%","10","Internal HTML pages with 2xx response"
"5","0","0.00%","10","Internal HTML pages with 2xx response"
"6","0","0.00%","10","Internal HTML pages with 2xx response"
"7","0","0.00%","10","Internal HTML pages with 2xx response"
"8","0","0.00%","10","Internal HTML pages with 2xx response"
"9","0","0.00%","10","Internal HTML pages with 2xx response"
"10+","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://mos2es.com/","8","80.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/papers","7","70.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/field-sheet","7","70.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/deck","6","60.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/press","6","60.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/governance-vacuum","6","60.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/legal","5","50.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/demovideo","4","40.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/architecture","2","20.00%","10","Internal HTML pages with 2xx response"
"https://mos2es.com/resume","1","10.00%","10","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","8","66.67%"
"2","1","8.33%"
"3","1","8.33%"
"4","1","8.33%"
"5","1","8.33%"
