"Site Crawled","https://mos2es.com/"
"Start Date","2026-07-10"
"Start Time","05:17:34"
"Last Modified Date","2026-07-10"
"Last Modified Time","05:17:54"
"Elapsed","00:00:20"
"Report Date","2026-07-10"
"Report Time","05:18:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"External All","17","56.67%","30","All External Crawled URLs"
"External Blocked by Robots.txt","0","0.00%","30","All External Crawled URLs"
"External Blocked Resource","0","0.00%","30","All External Crawled URLs"
"External No Response","0","0.00%","30","All External Crawled URLs"
"External Success (2xx)","16","53.33%","30","All External Crawled URLs"
"External Redirection (3xx)","1","3.33%","30","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","30","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","30","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","30","All External Crawled URLs"
"External Client Error (4xx)","0","0.00%","30","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","30","All External Crawled URLs"
""
"URL"
"All","13","100.00%","13","Internal URLs"
"Non ASCII Characters","0","0.00%","13","Internal URLs"
"Underscores","0","0.00%","13","Internal URLs"
"Uppercase","0","0.00%","13","Internal URLs"
"Multiple Slashes","0","0.00%","13","Internal URLs"
"Repetitive Path","0","0.00%","13","Internal URLs"
"Contains Space","0","0.00%","13","Internal URLs"
"Internal Search","0","0.00%","13","Internal URLs"
"Parameters","0","0.00%","13","Internal URLs"
"Broken Bookmark","0","0.00%","13","Internal URLs"
"GA Tracking Parameters","0","0.00%","13","Internal URLs"
"Over 115 Characters","0","0.00%","13","Internal URLs"
""
"Page Titles"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Missing","0","0.00%","10","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","10","Internal HTML pages with 2xx response"
"Over 60 Characters","0","0.00%","10","Internal HTML pages with 2xx response"
"Below 30 Characters","3","30.00%","10","Internal HTML pages with 2xx response"
"Over 561 Pixels","0","0.00%","10","Internal HTML pages with 2xx response"
"Below 200 Pixels","0","0.00%","10","Internal HTML pages with 2xx response"
"Same as H1","1","10.00%","10","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","10","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Missing","0","0.00%","10","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","10","Internal HTML pages with 2xx response"
"Over 155 Characters","0","0.00%","10","Internal HTML pages with 2xx response"
"Below 70 Characters","0","0.00%","10","Internal HTML pages with 2xx response"
"Over 985 Pixels","0","0.00%","10","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","10","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","10","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Missing","10","100.00%","10","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","10","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","10","Internal HTML pages with 2xx response"
""
"H1"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Missing","0","0.00%","10","Internal HTML pages with 2xx response"
"Duplicate","2","20.00%","10","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","10","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","10","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","10","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","10","Internal HTML pages with 2xx response"
""
"H2"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Missing","2","20.00%","10","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","10","Internal HTML pages with 2xx response"
"Over 70 Characters","1","10.00%","10","Internal HTML pages with 2xx response"
"Multiple","8","80.00%","10","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Content"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","10","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","10","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","10","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","10","Internal HTML pages with 2xx response"
"Low Content Pages","1","10.00%","10","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","10","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","10","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","10","Internal HTML pages with 2xx response"
"Readability Difficult","3","30.00%","10","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","10","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Images"
"All","1","100.00%","1","Images with 2xx response"
"Over 100 kB","0","0.00%","1","Images with 2xx response"
"Missing Alt Text","0","0.00%","1","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","1","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","1","Images with 2xx response"
"Background Images","0","0.00%","1","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","1","Images with 2xx response"
"Missing Size Attributes","0","0.00%","1","Images with 2xx response"
""
"Canonicals"
"All","10","100.00%","10","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","10","100.00%","10","Internal HTML or PDF pages with 2xx response"
"Self Referencing","10","100.00%","10","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","10","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","10","100.00%","10","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","10","Internal HTML pages with 2xx response"
"First Page","0","0.00%","10","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","10","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","10","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","10","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","10","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","10","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","10","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","10","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","10","Internal HTML pages with 2xx response"
""
"Directives"
"All","12","100.00%","12","Internal URLs with 2xx response"
"Index","0","0.00%","12","Internal URLs with 2xx response"
"Noindex","0","0.00%","12","Internal URLs with 2xx response"
"Follow","0","0.00%","12","Internal URLs with 2xx response"
"Nofollow","0","0.00%","12","Internal URLs with 2xx response"
"None","0","0.00%","12","Internal URLs with 2xx response"
"NoArchive","0","0.00%","12","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","12","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","12","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","12","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","12","Internal URLs with 2xx response"
"NoODP","0","0.00%","12","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","12","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","12","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","12","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","12","Internal URLs with 2xx response"
"Refresh","0","0.00%","10","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","12","Internal URLs with 2xx response"
""
"Hreflang"
"All","10","100.00%","10","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","10","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","10","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","10","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","10","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","10","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","10","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","10","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","10","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","10","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","10","Internal pages with 2xx response"
